Ref,Val,Package,PosX,PosY,Rot,Side
"C205","10n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",97.170000,-109.240000,90.000000,bottom
"C207","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",94.630000,-109.240000,90.000000,bottom
"C208","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",94.630000,-122.840000,-90.000000,bottom
"C209","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",88.545000,-120.920000,-90.000000,bottom
"C210","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",89.940000,-120.920000,-90.000000,bottom
"C211","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",90.940000,-120.920000,-90.000000,bottom
"C305","10n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.730000,-109.240000,90.000000,bottom
"C307","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",142.190000,-109.240000,90.000000,bottom
"C308","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",142.190000,-122.840000,-90.000000,bottom
"C309","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.105000,-120.920000,-90.000000,bottom
"C310","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",137.500000,-120.920000,-90.000000,bottom
"C311","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",138.500000,-120.920000,-90.000000,bottom
"C405","10n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",192.290000,-109.240000,90.000000,bottom
"C407","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",189.750000,-109.240000,90.000000,bottom
"C408","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",189.750000,-122.840000,-90.000000,bottom
"C409","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",183.665000,-120.920000,-90.000000,bottom
"C410","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",185.060000,-120.920000,-90.000000,bottom
"C411","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",186.060000,-120.920000,-90.000000,bottom
"C1301","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",192.600000,-151.332500,-90.000000,bottom
"R205","160k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",96.170000,-109.240000,-90.000000,bottom
"R206","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",98.170000,-109.240000,90.000000,bottom
"R305","160k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",143.730000,-109.240000,-90.000000,bottom
"R306","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.730000,-109.240000,90.000000,bottom
"R405","160k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",191.290000,-109.240000,-90.000000,bottom
"R406","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",193.290000,-109.240000,90.000000,bottom
"U203","HCPL-7800-500E","DIP-8 Gull Wing",98.440000,-116.000000,0.000000,bottom
"U204","GO 10-SME/SP3","SOIC8-GO-SME&slash_SP3_LEM",90.445000,-116.000000,-90.000000,bottom
"U303","HCPL-7800-500E","DIP-8 Gull Wing",146.000000,-116.000000,0.000000,bottom
"U304","GO 10-SME/SP3","SOIC8-GO-SME&slash_SP3_LEM",138.005000,-116.000000,-90.000000,bottom
"U403","HCPL-7800-500E","DIP-8 Gull Wing",193.560000,-116.000000,0.000000,bottom
"U404","GO 10-SME/SP3","SOIC8-GO-SME&slash_SP3_LEM",185.565000,-116.000000,-90.000000,bottom
"U1301","MAX3097ECSE+","SOIC-16_3.9x9.9mm_P1.27mm",196.900000,-155.200000,180.000000,bottom
