Ref,Val,Package,PosX,PosY,Rot,Side
"C201","100u","CP_Elec_6.3x7.7",86.340000,-122.240000,-90.000000,top
"C202","100u","CP_Elec_6.3x7.7",104.740000,-122.240000,-90.000000,top
"C203","22u","CP_Elec_5x5.4",86.340000,-109.000000,90.000000,top
"C204","22u","CP_Elec_5x5.4",104.740000,-109.000000,90.000000,top
"C206","10u","C_0805_2012Metric",83.525000,-103.875000,-90.000000,top
"C301","100u","CP_Elec_6.3x7.7",133.900000,-122.240000,-90.000000,top
"C302","100u","CP_Elec_6.3x7.7",152.300000,-122.240000,-90.000000,top
"C303","22u","CP_Elec_5x5.4",133.900000,-109.000000,90.000000,top
"C304","22u","CP_Elec_5x5.4",152.300000,-109.000000,90.000000,top
"C306","10u","C_0805_2012Metric",131.125000,-103.825000,-90.000000,top
"C401","100u","CP_Elec_6.3x7.7",181.460000,-122.240000,-90.000000,top
"C402","100u","CP_Elec_6.3x7.7",199.860000,-122.240000,-90.000000,top
"C403","22u","CP_Elec_5x5.4",181.460000,-109.000000,90.000000,top
"C404","22u","CP_Elec_5x5.4",199.860000,-109.000000,90.000000,top
"C406","10u","C_0805_2012Metric",178.625000,-103.850000,-90.000000,top
"C501","10u","CP_Elec_4x5.4",122.754000,-153.460000,0.000000,top
"C502","22u","CP_Elec_5x5.4",122.804000,-140.560000,180.000000,top
"C601","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",40.900000,-120.900000,-90.000000,top
"C602","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",39.500000,-120.900000,-90.000000,top
"C603","4.7n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",38.500000,-120.900000,-90.000000,top
"C604","10n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",48.000000,-108.800000,180.000000,top
"C605","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",51.252500,-109.800000,180.000000,top
"C606","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",53.600000,-120.300000,0.000000,top
"C801","18p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",149.800000,-158.432500,90.000000,top
"C802","18p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",149.800000,-160.600000,-90.000000,top
"C803","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",153.075000,-157.475000,-90.000000,top
"C804","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",169.075000,-156.900000,-90.000000,top
"C805","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.600000,-169.300000,-90.000000,top
"C806","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",127.700000,-152.600000,90.000000,top
"C807","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.600000,-169.300000,-90.000000,top
"C808","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",166.275000,-167.425000,-90.000000,top
"C809","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.350000,-157.825000,-90.000000,top
"C810","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",163.600000,-169.300000,-90.000000,top
"C811","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.200000,-164.825000,90.000000,top
"C812","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",157.717500,-153.775000,0.000000,top
"C813","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",127.700000,-138.600000,-90.000000,top
